date,season,location,team1,team2,team1_colleyrating,team2_colleyrating,result,prediction,accuracy
2023-08-11,2023,H,BUR,MNC,0.7440976488545772,1.2748785681190578,0.0,0,1.0
2023-08-11,2023,A,MNC,BUR,1.2748785681190578,0.7440976488545772,1.0,1,1.0
2023-08-12,2023,A,AVA,NEW,1.1895052261646033,1.2120751257298419,0.0,0,1.0
2023-08-12,2023,A,CRY,SHU,1.0914452892782167,0.75893311959993,1.0,1,1.0
2023-08-12,2023,A,FUL,EVE,1.02217513304525,0.9321667371505551,1.0,1,1.0
2023-08-12,2023,A,LUT,BRH,0.8460938951899134,1.1705513725494523,0.0,0,1.0
2023-08-12,2023,A,WHU,BOU,1.0264854455788088,0.8832518150652464,0.5,1,0.5
2023-08-12,2023,A,NTG,ARS,1.0719110498062716,1.3320217977540982,0.0,0,1.0
2023-08-12,2023,H,EVE,FUL,0.9321667371505551,1.02217513304525,0.0,0,1.0
2023-08-12,2023,H,ARS,NTG,1.3320217977540982,1.0719110498062716,1.0,1,1.0
2023-08-12,2023,H,BOU,WHU,0.8832518150652464,1.0264854455788088,0.5,0,0.5
2023-08-12,2023,H,BRH,LUT,1.1705513725494523,0.8460938951899134,1.0,1,1.0
2023-08-12,2023,H,SHU,CRY,0.75893311959993,1.0914452892782167,0.0,0,1.0
2023-08-12,2023,H,NEW,AVA,1.2120751257298419,1.1895052261646033,1.0,1,1.0
2023-08-13,2023,A,LIV,CHE,1.3329442151049333,1.094839190625209,0.5,1,0.5
2023-08-13,2023,A,TOT,BRE,1.3169979792918416,1.1225860816469648,0.5,1,0.5
2023-08-13,2023,H,BRE,TOT,1.1225860816469648,1.3169979792918416,0.5,0,0.5
2023-08-13,2023,H,CHE,LIV,1.094839190625209,1.3329442151049333,0.5,0,0.5
2023-08-14,2023,H,MUN,WLV,1.07558756533776,1.0014527441074592,1.0,1,1.0
2023-08-14,2023,A,WLV,MUN,1.0014527441074592,1.07558756533776,0.0,0,1.0
2023-08-18,2023,A,SHU,NTG,0.75893311959993,1.0719110498062716,0.0,0,1.0
2023-08-18,2023,H,NTG,SHU,1.0719110498062716,0.75893311959993,1.0,1,1.0
2023-08-19,2023,A,NEW,MNC,1.2120751257298419,1.2748785681190578,0.0,0,1.0
2023-08-19,2023,A,BOU,LIV,0.8832518150652464,1.3329442151049333,0.0,0,1.0
2023-08-19,2023,A,BRE,FUL,1.1225860816469648,1.02217513304525,1.0,1,1.0
2023-08-19,2023,H,FUL,BRE,1.02217513304525,1.1225860816469648,0.0,0,1.0
2023-08-19,2023,A,BRH,WLV,1.1705513725494523,1.0014527441074592,1.0,1,1.0
2023-08-19,2023,H,WLV,BRH,1.0014527441074592,1.1705513725494523,0.0,0,1.0
2023-08-19,2023,H,TOT,MUN,1.3169979792918416,1.07558756533776,1.0,1,1.0
2023-08-19,2023,H,MNC,NEW,1.2748785681190578,1.2120751257298419,1.0,1,1.0
2023-08-19,2023,A,MUN,TOT,1.07558756533776,1.3169979792918416,0.0,0,1.0
2023-08-19,2023,H,LIV,BOU,1.3329442151049333,0.8832518150652464,1.0,1,1.0
2023-08-20,2023,H,WHU,CHE,1.0264854455788088,1.094839190625209,1.0,0,0.0
2023-08-20,2023,H,AVA,EVE,1.1895052261646033,0.9321667371505551,1.0,1,1.0
2023-08-20,2023,A,CHE,WHU,1.094839190625209,1.0264854455788088,0.0,1,0.0
2023-08-20,2023,A,EVE,AVA,0.9321667371505551,1.1895052261646033,0.0,0,1.0
2023-08-21,2023,A,ARS,CRY,1.3320217977540982,1.0914452892782167,1.0,1,1.0
2023-08-21,2023,H,CRY,ARS,1.0914452892782167,1.3320217977540982,0.0,0,1.0
2023-08-25,2023,H,CHE,LUT,1.094839190625209,0.8460938951899134,1.0,1,1.0
2023-08-25,2023,A,LUT,CHE,0.8460938951899134,1.094839190625209,0.0,0,1.0
2023-08-26,2023,H,BRH,WHU,1.1705513725494523,1.0264854455788088,0.0,1,0.0
2023-08-26,2023,A,FUL,ARS,1.02217513304525,1.3320217977540982,0.5,0,0.5
2023-08-26,2023,A,CRY,BRE,1.0914452892782167,1.1225860816469648,0.5,0,0.5
