date,season,location,team1,team2,score1,score2,result,team1winrate,team2winrate,prediction,accuracy
2023-08-11,2023,H,BUR,MNC,0,3,0.0,0.2,0.727,0.21574973031283712,1.0
2023-08-11,2023,A,MNC,BUR,3,0,1.0,0.727,0.2,0.7842502696871628,1.0
2023-08-12,2023,A,LUT,BRH,1,4,0.0,0.222,0.6,0.27007299270072993,1.0
2023-08-12,2023,A,FUL,EVE,1,0,1.0,0.444,0.3,0.5967741935483871,1.0
2023-08-12,2023,A,CRY,SHU,1,0,1.0,0.5,0.1,0.8333333333333334,1.0
2023-08-12,2023,A,AVA,NEW,1,5,0.0,0.7,0.6,0.5384615384615385,0.0
2023-08-12,2023,A,WHU,BOU,1,1,0.5,0.556,0.125,0.8164464023494861,0.5
2023-08-12,2023,A,NTG,ARS,1,2,0.0,0.429,0.875,0.3289877300613497,1.0
2023-08-12,2023,H,NEW,AVA,5,1,1.0,0.6,0.7,0.46153846153846156,0.0
2023-08-12,2023,H,SHU,CRY,0,1,0.0,0.1,0.5,0.16666666666666669,1.0
2023-08-12,2023,H,EVE,FUL,0,1,0.0,0.3,0.444,0.4032258064516129,1.0
2023-08-12,2023,H,BRH,LUT,4,1,1.0,0.6,0.222,0.7299270072992701,1.0
2023-08-12,2023,H,BOU,WHU,1,1,0.5,0.125,0.556,0.18355359765051393,0.5
2023-08-12,2023,H,ARS,NTG,2,1,1.0,0.875,0.429,0.6710122699386503,1.0
2023-08-13,2023,A,LIV,CHE,1,1,0.5,0.778,0.5,0.6087636932707355,0.5
2023-08-13,2023,A,TOT,BRE,2,2,0.5,0.889,0.429,0.6745068285280729,0.5
2023-08-13,2023,H,BRE,TOT,2,2,0.5,0.429,0.889,0.32549317147192713,0.5
2023-08-13,2023,H,CHE,LIV,1,1,0.5,0.5,0.778,0.39123630672926446,0.5
2023-08-14,2023,H,MUN,WLV,1,0,1.0,0.545,0.444,0.5510616784630941,1.0
2023-08-14,2023,A,WLV,MUN,0,1,0.0,0.444,0.545,0.44893832153690594,1.0
2023-08-18,2023,A,SHU,NTG,1,2,0.0,0.1,0.429,0.1890359168241966,1.0
2023-08-18,2023,H,NTG,SHU,2,1,1.0,0.429,0.1,0.8109640831758034,1.0
2023-08-19,2023,A,BRE,FUL,3,0,1.0,0.429,0.444,0.49140893470790376,0.0
2023-08-19,2023,H,WLV,BRH,1,4,0.0,0.444,0.6,0.42528735632183906,1.0
2023-08-19,2023,H,LIV,BOU,3,1,1.0,0.778,0.125,0.8615725359911407,1.0
2023-08-19,2023,H,FUL,BRE,0,3,0.0,0.444,0.429,0.5085910652920962,0.0
