date,season,location,team1,team2,team1_masseyrating,team2_masseyrating,result,prediction,accuracy
2023-08-11,2023,H,BUR,MNC,-1.5567750373861282,1.5315896222107068,0.0,0,1.0
2023-08-11,2023,A,MNC,BUR,1.5315896222107068,-1.5567750373861282,1.0,1,1.0
2023-08-12,2023,A,AVA,NEW,0.8920735785193186,1.5997702660249487,0.0,0,1.0
2023-08-12,2023,A,CRY,SHU,-0.3262477811388006,-1.7008825488428898,1.0,1,1.0
2023-08-12,2023,A,FUL,EVE,-0.6892702036061209,-0.45995338155955806,1.0,0,0.0
2023-08-12,2023,A,LUT,BRH,-0.9755357594677777,0.45530791664800513,0.0,0,1.0
2023-08-12,2023,A,WHU,BOU,-0.005646401696906063,-1.3435873566699135,0.5,1,0.5
2023-08-12,2023,A,NTG,ARS,-0.22519929817047674,1.1711383750383944,0.0,0,1.0
2023-08-12,2023,H,EVE,FUL,-0.45995338155955806,-0.6892702036061209,0.0,1,0.0
2023-08-12,2023,H,ARS,NTG,1.1711383750383944,-0.22519929817047674,1.0,1,1.0
2023-08-12,2023,H,BOU,WHU,-1.3435873566699135,-0.005646401696906063,0.5,0,0.5
2023-08-12,2023,H,BRH,LUT,0.45530791664800513,-0.9755357594677777,1.0,1,1.0
2023-08-12,2023,H,SHU,CRY,-1.7008825488428898,-0.3262477811388006,0.0,0,1.0
2023-08-12,2023,H,NEW,AVA,1.5997702660249487,0.8920735785193186,1.0,1,1.0
2023-08-13,2023,A,LIV,CHE,1.3163165863944974,0.39648214780656216,0.5,1,0.5
2023-08-13,2023,A,TOT,BRE,0.5514806326471557,0.2263085102701354,0.5,1,0.5
2023-08-13,2023,H,BRE,TOT,0.2263085102701354,0.5514806326471557,0.5,0,0.5
2023-08-13,2023,H,CHE,LIV,0.39648214780656216,1.3163165863944974,0.5,0,0.5
2023-08-14,2023,H,MUN,WLV,-0.4516599732792638,-0.4057098937418827,1.0,0,0.0
2023-08-14,2023,A,WLV,MUN,-0.4057098937418827,-0.4516599732792638,0.0,1,0.0
2023-08-18,2023,A,SHU,NTG,-1.7008825488428898,-0.22519929817047674,0.0,0,1.0
2023-08-18,2023,H,NTG,SHU,-0.22519929817047674,-1.7008825488428898,1.0,1,1.0
2023-08-19,2023,A,NEW,MNC,1.5997702660249487,1.5315896222107068,0.0,1,0.0
2023-08-19,2023,A,BOU,LIV,-1.3435873566699135,1.3163165863944974,0.0,0,1.0
2023-08-19,2023,A,BRE,FUL,0.2263085102701354,-0.6892702036061209,1.0,1,1.0
2023-08-19,2023,H,FUL,BRE,-0.6892702036061209,0.2263085102701354,0.0,0,1.0
2023-08-19,2023,A,BRH,WLV,0.45530791664800513,-0.4057098937418827,1.0,1,1.0
2023-08-19,2023,H,WLV,BRH,-0.4057098937418827,0.45530791664800513,0.0,0,1.0
2023-08-19,2023,H,TOT,MUN,0.5514806326471557,-0.4516599732792638,1.0,1,1.0
2023-08-19,2023,H,MNC,NEW,1.5315896222107068,1.5997702660249487,1.0,0,0.0
2023-08-19,2023,A,MUN,TOT,-0.4516599732792638,0.5514806326471557,0.0,0,1.0
2023-08-19,2023,H,LIV,BOU,1.3163165863944974,-1.3435873566699135,1.0,1,1.0
2023-08-20,2023,H,WHU,CHE,-0.005646401696906063,0.39648214780656216,1.0,0,0.0
2023-08-20,2023,H,AVA,EVE,0.8920735785193186,-0.45995338155955806,1.0,1,1.0
2023-08-20,2023,A,CHE,WHU,0.39648214780656216,-0.005646401696906063,0.0,1,0.0
2023-08-20,2023,A,EVE,AVA,-0.45995338155955806,0.8920735785193186,0.0,0,1.0
2023-08-21,2023,A,ARS,CRY,1.1711383750383944,-0.3262477811388006,1.0,1,1.0
2023-08-21,2023,H,CRY,ARS,-0.3262477811388006,1.1711383750383944,0.0,0,1.0
2023-08-25,2023,H,CHE,LUT,0.39648214780656216,-0.9755357594677777,1.0,1,1.0
2023-08-25,2023,A,LUT,CHE,-0.9755357594677777,0.39648214780656216,0.0,0,1.0
2023-08-26,2023,H,BRH,WHU,0.45530791664800513,-0.005646401696906063,0.0,1,0.0
2023-08-26,2023,A,FUL,ARS,-0.6892702036061209,1.1711383750383944,0.5,0,0.5
2023-08-26,2023,A,CRY,BRE,-0.3262477811388006,0.2263085102701354,0.5,0,0.5
2023-08-26,2023,A,WLV,EVE,-0.4057098937418827,-0.45995338155955806,1.0,1,1.0
2023-08-26,2023,A,NTG,MUN,-0.22519929817047674,-0.4516599732792638,0.0,1,0.0
2023-08-26,2023,A,WHU,BRH,-0.005646401696906063,0.45530791664800513,1.0,0,0.0
2023-08-26,2023,H,MUN,NTG,-0.4516599732792638,-0.22519929817047674,1.0,0,0.0
2023-08-26,2023,H,EVE,WLV,-0.45995338155955806,-0.4057098937418827,0.0,0,1.0
2023-08-26,2023,H,BRE,CRY,0.2263085102701354,-0.3262477811388006,0.5,1,0.5
2023-08-26,2023,H,ARS,FUL,1.1711383750383944,-0.6892702036061209,0.5,1,0.5
2023-08-26,2023,H,BOU,TOT,-1.3435873566699135,0.5514806326471557,0.0,0,1.0
2023-08-26,2023,A,TOT,BOU,0.5514806326471557,-1.3435873566699135,1.0,1,1.0
2023-08-27,2023,A,AVA,BUR,0.8920735785193186,-1.5567750373861282,1.0,1,1.0
