season,team,winrate
1947,PHW,0.5806451612903226
1947,STB,0.6190476190476191
1947,PIT,0.25806451612903225
1947,NYK,0.5483870967741935
1947,CLR,0.5
1947,CHS,0.6349206349206349
1947,BOS,0.3709677419354839
1947,PRO,0.46774193548387094
1947,WSC,0.8064516129032258
1947,DTF,0.3387096774193548
1947,TRH,0.3709677419354839
1948,WSC,0.58
1948,BLB,0.58
1948,PHW,0.56
1948,NYK,0.54
1948,STB,0.6
1948,CHS,0.58
1948,BOS,0.42
1948,PRO,0.14
1949,BLB,0.4838709677419355
1949,PHW,0.46774193548387094
1949,STB,0.4838709677419355
1949,NYK,0.532258064516129
1949,INJ,0.3064516129032258
1949,CHS,0.6290322580645161
1949,BOS,0.41935483870967744
1949,PRO,0.20967741935483872
1949,WSC,0.6290322580645161
1949,MNL,0.7258064516129032
1949,FTW,0.3709677419354839
1949,ROC,0.7419354838709677
1950,BLB,0.37142857142857144
1950,PHW,0.38571428571428573
1950,SHE,0.359375
1950,STB,0.38571428571428573
1950,NYK,0.5857142857142857
1950,CHS,0.5857142857142857
1950,BOS,0.32857142857142857
1950,INO,0.6060606060606061
1950,DNN,0.1875
1950,TRI,0.45454545454545453
1950,WSC,0.4714285714285714
1950,MNL,0.7428571428571429
1950,AND,0.5757575757575758
1950,ROC,0.7428571428571429
1950,FTW,0.5857142857142857
1950,SYR,0.7878787878787878
1950,WAT,0.3125
1951,BLB,0.36764705882352944
1951,PHW,0.6029411764705882
1951,NYK,0.5441176470588235
1951,BOS,0.5633802816901409
1951,INO,0.45714285714285713
1951,TRI,0.37142857142857144
1951,WSC,0.2972972972972973
1951,MNL,0.6428571428571429
1951,ROC,0.6
1951,FTW,0.4714285714285714
1951,SYR,0.4852941176470588
1952,BLB,0.3088235294117647
1952,PHW,0.5
1952,NYK,0.5588235294117647
1952,BOS,0.5882352941176471
1952,INO,0.5147058823529411
1952,MNL,0.6029411764705882
1952,MLH,0.2647058823529412
1952,ROC,0.6176470588235294
1952,FTW,0.4411764705882353
1952,SYR,0.6029411764705882
1953,BLB,0.2361111111111111
1953,PHW,0.18309859154929578
1953,NYK,0.6666666666666666
1953,BOS,0.6438356164383562
1953,INO,0.3972602739726027
1953,MNL,0.6805555555555556
1953,MLH,0.3835616438356164
1953,ROC,0.625
1953,FTW,0.5211267605633803
1953,SYR,0.6575342465753424
1954,BLB,0.22972972972972974
1954,PHW,0.40540540540540543
1954,MNL,0.6351351351351351
1954,NYK,0.6081081081081081
1954,MLH,0.2972972972972973
1954,BOS,0.581081081081081
1954,ROC,0.6081081081081081
1954,FTW,0.5540540540540541
1954,SYR,0.581081081081081
1955,PHW,0.4594594594594595
1955,MNL,0.5540540540540541
1955,NYK,0.527027027027027
1955,MLH,0.36486486486486486
1955,BOS,0.5
1955,SYR,0.5945945945945946
1955,FTW,0.5945945945945946
1955,ROC,0.40540540540540543
1956,PHW,0.6216216216216216
1956,MNL,0.4594594594594595
1956,NYK,0.4864864864864865
1956,STL,0.4594594594594595
1956,BOS,0.5405405405405406
1956,SYR,0.4864864864864865
1956,FTW,0.5135135135135135
1956,ROC,0.43243243243243246
1957,PHW,0.5135135135135135
1957,MNL,0.47297297297297297
1957,NYK,0.5
1957,STL,0.47297297297297297
1957,SYR,0.527027027027027
1957,BOS,0.6081081081081081
1957,FTW,0.47297297297297297
1957,ROC,0.43243243243243246
1958,PHW,0.5135135135135135
1958,MNL,0.2702702702702703
1958,NYK,0.4864864864864865
1958,STL,0.5675675675675675
1958,CIN,0.4594594594594595
1958,BOS,0.6756756756756757
1958,DET,0.4594594594594595
1958,SYR,0.5675675675675675
1959,PHW,0.44594594594594594
1959,MNL,0.4594594594594595
1959,NYK,0.5540540540540541
1959,STL,0.6756756756756757
1959,CIN,0.2702702702702703
1959,BOS,0.7162162162162162
1959,DET,0.3918918918918919
1959,SYR,0.4864864864864865
1960,PHW,0.6493506493506493
1960,MNL,0.33766233766233766
1960,NYK,0.36363636363636365
1960,STL,0.6103896103896104
1960,CIN,0.2597402597402597
1960,BOS,0.7792207792207793
1960,DET,0.4025974025974026
1960,SYR,0.5974025974025974
1961,PHW,0.5802469135802469
1961,NYK,0.2716049382716049
1961,STL,0.6419753086419753
1961,CIN,0.41975308641975306
1961,BOS,0.7160493827160493
1961,DET,0.43209876543209874
1961,SYR,0.48148148148148145
1961,LAL,0.4567901234567901
1962,PHW,0.6097560975609756
1962,NYK,0.36585365853658536
1962,STL,0.36585365853658536
1962,CHP,0.23170731707317074
1962,CIN,0.5365853658536586
1962,BOS,0.7439024390243902
1962,DET,0.4634146341463415
1962,SYR,0.5121951219512195
