date,season,location,team1,team2,score1,score2,result
1946-11-01,1947,H,TRH,NYK,66,68,0
1946-11-02,1947,H,PRO,BOS,59,53,1
1946-11-02,1947,H,STB,PIT,56,51,1
1946-11-02,1947,H,CHS,NYK,63,47,1
1946-11-02,1947,H,DTF,WSC,33,50,0
1946-11-03,1947,H,CLR,TRH,71,60,1
1946-11-04,1947,H,PIT,WSC,56,71,0
1946-11-05,1947,H,DTF,STB,49,53,0
1946-11-05,1947,H,BOS,CHS,55,57,0
1946-11-07,1947,H,PHW,PIT,81,75,1
1946-11-07,1947,H,PRO,CHS,73,65,1
1946-11-07,1947,H,STB,NYK,63,68,0
1946-11-08,1947,H,TRH,DTF,73,71,1
1946-11-09,1947,H,CHS,TRH,62,54,1
1946-11-09,1947,H,DTF,BOS,69,46,1
1946-11-09,1947,H,PRO,PIT,76,66,1
1946-11-09,1947,H,STB,WSC,70,69,1
1946-11-10,1947,H,CLR,WSC,92,68,1
1946-11-11,1947,H,NYK,CHS,68,78,0
1946-11-11,1947,H,PIT,PRO,84,71,1
1946-11-13,1947,H,CHS,BOS,71,61,1
1946-11-13,1947,H,DTF,PRO,68,70,0
1946-11-14,1947,H,PHW,WSC,68,65,1
1946-11-14,1947,H,STB,BOS,64,62,1
1946-11-15,1947,H,TRH,PRO,85,68,1
1946-11-16,1947,H,BOS,TRH,53,49,1
1946-11-16,1947,H,CHS,WSC,65,73,0
1946-11-16,1947,H,NYK,PIT,64,62,1
1946-11-16,1947,H,PRO,DTF,59,70,0
1946-11-16,1947,H,STB,CLR,83,74,1
1946-11-17,1947,H,CLR,CHS,76,78,0
1946-11-18,1947,H,NYK,DTF,61,57,1
1946-11-18,1947,H,PIT,TRH,54,48,1
1946-11-19,1947,H,PHW,STB,63,66,0
1946-11-19,1947,H,TRH,CLR,72,74,0
1946-11-20,1947,H,DTF,PIT,53,54,0
1946-11-20,1947,H,NYK,CHS,72,69,1
1946-11-20,1947,H,WSC,STB,54,51,1
1946-11-21,1947,H,BOS,STB,53,65,0
1946-11-21,1947,H,PHW,CHS,63,65,0
1946-11-21,1947,H,PRO,WSC,58,66,0
1946-11-22,1947,H,TRH,BOS,83,82,1
1946-11-23,1947,H,DTF,BOS,54,46,1
1946-11-23,1947,H,NYK,CLR,82,76,1
1946-11-23,1947,H,PRO,STB,59,65,0
1946-11-23,1947,H,WSC,TRH,74,50,1
1946-11-24,1947,H,CHS,DTF,55,68,0
1946-11-24,1947,H,CLR,PIT,62,60,1
1946-11-25,1947,H,BOS,PRO,59,71,0
1946-11-25,1947,H,PIT,NYK,46,62,0
1946-11-26,1947,H,DTF,CLR,66,46,1
1946-11-26,1947,H,PHW,BOS,66,54,1
1946-11-26,1947,H,TRH,WSC,68,78,0
1946-11-27,1947,H,NYK,STB,67,60,1
1946-11-27,1947,H,PIT,CLR,62,60,1
1946-11-27,1947,H,WSC,CHS,75,67,1
1946-11-28,1947,H,BOS,PIT,59,55,1
1946-11-28,1947,H,CHS,STB,72,75,0
1946-11-28,1947,H,PHW,DTF,55,68,0
1946-11-28,1947,H,PRO,NYK,58,60,0
1946-11-29,1947,H,TRH,CLR,72,87,0
1946-11-30,1947,H,NYK,PHW,64,60,1
1946-11-30,1947,H,PRO,TRH,79,65,1
1946-11-30,1947,H,STB,DTF,60,57,1
1946-11-30,1947,H,WSC,PIT,49,40,1
1946-12-01,1947,H,CHS,BOS,66,56,1
1946-12-01,1947,H,CLR,DTF,49,47,1
1946-12-02,1947,H,PIT,BOS,44,46,0
1946-12-03,1947,H,PHW,PRO,76,68,1
1946-12-04,1947,H,NYK,DTF,70,57,1
1946-12-04,1947,H,PIT,CHS,46,57,0
1946-12-04,1947,H,WSC,PRO,80,62,1
1946-12-05,1947,H,BOS,DTF,61,65,0
1946-12-05,1947,H,CHS,TRH,61,65,0
1946-12-05,1947,H,PHW,NYK,62,51,1
1946-12-05,1947,H,STB,PIT,66,55,1
1946-12-07,1947,H,BOS,NYK,65,90,0
1946-12-07,1947,H,CHS,CLR,86,78,1
1946-12-07,1947,H,PRO,TRH,59,68,0
1946-12-07,1947,H,STB,PHW,47,57,0
1946-12-07,1947,H,WSC,DTF,75,64,1
1946-12-08,1947,H,CLR,PHW,72,66,1
1946-12-08,1947,H,NYK,BOS,62,44,1
1946-12-09,1947,H,PIT,DTF,58,66,0
1946-12-10,1947,H,CLR,STB,61,62,0
1946-12-10,1947,H,TRH,PHW,73,85,0
1946-12-11,1947,H,CHS,CLR,88,79,1
1946-12-11,1947,H,NYK,PRO,83,68,1
1946-12-11,1947,H,WSC,DTF,81,66,1
1946-12-12,1947,H,BOS,DTF,73,66,1
1946-12-12,1947,H,PHW,WSC,49,64,0
1946-12-12,1947,H,STB,CHS,68,88,0
1946-12-13,1947,H,TRH,PIT,52,62,0
1946-12-14,1947,H,BOS,PHW,77,65,1
1946-12-14,1947,H,PRO,DTF,81,66,1
1946-12-14,1947,H,WSC,CLR,72,52,1
1946-12-15,1947,H,CLR,NYK,70,52,1
1946-12-15,1947,H,CHS,PIT,84,75,1
1946-12-15,1947,H,STB,TRH,46,50,0
1946-12-16,1947,H,PIT,STB,55,66,0
1946-12-17,1947,H,CLR,TRH,78,62,1
1946-12-17,1947,H,PHW,DTF,57,49,1
1946-12-18,1947,H,NYK,CLR,53,56,0
1946-12-18,1947,H,WSC,STB,68,47,1
1946-12-19,1947,H,BOS,STB,74,76,0
1946-12-19,1947,H,PHW,CLR,58,44,1
1946-12-19,1947,H,PRO,CHS,81,77,1
1946-12-20,1947,H,TRH,NYK,74,70,1
1946-12-21,1947,H,PRO,NYK,63,61,1
1946-12-21,1947,H,WSC,PHW,68,56,1
1946-12-22,1947,H,CHS,DTF,95,92,1
1946-12-22,1947,H,CLR,PIT,74,78,0
1946-12-22,1947,H,STB,BOS,65,53,1
1946-12-23,1947,H,PIT,BOS,64,54,1
1946-12-26,1947,H,PHW,PIT,53,46,1
1946-12-26,1947,H,PRO,WSC,66,78,0
1946-12-26,1947,H,STB,DTF,55,51,1
1946-12-27,1947,H,BOS,PHW,60,63,0
1946-12-27,1947,H,TRH,CHS,80,88,0
1946-12-28,1947,H,PRO,BOS,80,68,1
1946-12-28,1947,H,WSC,NYK,70,49,1
1946-12-29,1947,H,CLR,CHS,79,87,0
1946-12-29,1947,H,DTF,TRH,48,52,0
1946-12-29,1947,H,STB,PHW,75,68,1
1946-12-30,1947,H,BOS,WSC,60,70,0
1946-12-30,1947,H,PIT,PHW,60,62,0
1946-12-31,1947,H,CLR,STB,59,68,0
1946-12-31,1947,H,TRH,CHS,86,76,1
1947-01-01,1947,H,CHS,STB,90,103,0
1947-01-01,1947,H,DTF,WSC,62,57,1
1947-01-01,1947,H,PIT,CLR,48,61,0
1947-01-02,1947,H,PHW,PRO,84,72,1
1947-01-02,1947,H,STB,WSC,66,57,1
1947-01-03,1947,H,TRH,BOS,53,58,0
1947-01-04,1947,H,DTF,NYK,50,62,0
1947-01-04,1947,H,PRO,PHW,78,74,1
1947-01-04,1947,H,WSC,CLR,78,64,1
1947-01-05,1947,H,STB,NYK,57,59,0
1947-01-06,1947,H,BOS,CLR,53,64,0
1947-01-06,1947,H,PIT,WSC,49,63,0
1947-01-06,1947,H,TRH,DTF,76,61,1
1947-01-08,1947,H,DTF,CHS,80,83,0
1947-01-08,1947,H,NYK,TRH,63,76,0
1947-01-08,1947,H,PIT,PHW,67,63,1
1947-01-08,1947,H,WSC,PRO,77,69,1
1947-01-09,1947,H,PHW,TRH,74,55,1
1947-01-09,1947,H,PRO,CLR,91,68,1
1947-01-09,1947,H,STB,CHS,84,81,1
1947-01-10,1947,H,BOS,NYK,66,62,1
1947-01-11,1947,H,DTF,PHW,58,56,1
1947-01-11,1947,H,PRO,BOS,72,73,0
1947-01-11,1947,H,WSC,TRH,81,66,1
1947-01-12,1947,H,CHS,PHW,75,72,1
1947-01-12,1947,H,STB,PIT,72,59,1
1947-01-13,1947,H,PIT,NYK,50,53,0
1947-01-14,1947,H,CLR,PRO,74,78,0
1947-01-14,1947,H,TRH,PHW,74,104,0
1947-01-15,1947,H,DTF,CHS,68,59,1
1947-01-15,1947,H,NYK,WSC,63,65,0
1947-01-15,1947,H,PIT,PRO,65,53,1
1947-01-16,1947,H,BOS,WSC,47,38,1
1947-01-16,1947,H,PHW,CHS,78,84,0
1947-01-16,1947,H,STB,CLR,59,63,0
