date,season,location,team1,team2,score1,score2,result,elo_prob1
1946-11-01,1947,H,TRH,NYK,66,68,0,0.6400649998028851
1946-11-02,1947,H,PRO,BOS,59,53,1,0.6400649998028851
1946-11-02,1947,H,STB,PIT,56,51,1,0.6400649998028851
1946-11-02,1947,H,CHS,NYK,63,47,1,0.6311011927856423
1946-11-02,1947,H,DTF,WSC,33,50,0,0.6400649998028851
1946-11-03,1947,H,CLR,TRH,71,60,1,0.6489321597920658
1946-11-04,1947,H,PIT,WSC,56,71,0,0.6061890227764349
1946-11-05,1947,H,DTF,STB,49,53,0,0.6061890227764349
1946-11-05,1947,H,BOS,CHS,55,57,0,0.6202040398972528
1946-11-07,1947,H,PHW,PIT,81,75,1,0.6687643288713905
1946-11-07,1947,H,PRO,CHS,73,65,1,0.625446064761835
1946-11-07,1947,H,STB,NYK,63,68,0,0.6607102218165188
1946-11-08,1947,H,TRH,DTF,73,71,1,0.6593085638988059
1946-11-09,1947,H,CHS,TRH,62,54,1,0.6668635108329087
1946-11-09,1947,H,DTF,BOS,69,46,1,0.6131817419462202
1946-11-09,1947,H,PRO,PIT,76,66,1,0.6890506532446805
1946-11-09,1947,H,STB,WSC,70,69,1,0.592263289731092
1946-11-10,1947,H,CLR,WSC,92,68,1,0.6028640862578376
1946-11-11,1947,H,NYK,CHS,68,78,0,0.6294791779109261
1946-11-11,1947,H,PIT,PRO,84,71,1,0.5716789315604753
1946-11-13,1947,H,CHS,BOS,71,61,1,0.7082604822160509
1946-11-13,1947,H,DTF,PRO,68,70,0,0.6054094414644623
1946-11-14,1947,H,PHW,WSC,68,65,1,0.6186328790960323
1946-11-14,1947,H,STB,BOS,64,62,1,0.6861096185887229
1946-11-15,1947,H,TRH,PRO,85,68,1,0.5996846836686645
1946-11-16,1947,H,BOS,TRH,53,49,1,0.6027022735799519
1946-11-16,1947,H,CHS,WSC,65,73,0,0.6637165999662911
1946-11-16,1947,H,NYK,PIT,64,62,1,0.6605570298841452
1946-11-16,1947,H,PRO,DTF,59,70,0,0.6750107784375118
1946-11-16,1947,H,STB,CLR,83,74,1,0.6231436033317865
1946-11-17,1947,H,CLR,CHS,76,78,0,0.6304748419303465
1946-11-18,1947,H,NYK,DTF,61,57,1,0.645759056622203
1946-11-18,1947,H,PIT,TRH,54,48,1,0.6193324616424206
1946-11-19,1947,H,PHW,STB,63,66,0,0.6311818677358428
1946-11-19,1947,H,TRH,CLR,72,74,0,0.6087944899614355
1946-11-20,1947,H,DTF,PIT,53,54,0,0.6502169362549454
1946-11-20,1947,H,NYK,CHS,72,69,1,0.6026213588151966
1946-11-20,1947,H,WSC,STB,54,51,1,0.6492857713858118
1946-11-21,1947,H,BOS,STB,53,65,0,0.5750684139442251
1946-11-21,1947,H,PHW,CHS,63,65,0,0.6093308230889408
1946-11-21,1947,H,PRO,WSC,58,66,0,0.5746124463697673
1946-11-22,1947,H,TRH,BOS,83,82,1,0.6665141691499891
1946-11-23,1947,H,DTF,BOS,54,46,1,0.6744739842283684
1946-11-23,1947,H,NYK,CLR,82,76,1,0.6275351431058852
1946-11-23,1947,H,PRO,STB,59,65,0,0.5595736719001148
1946-11-23,1947,H,WSC,TRH,74,50,1,0.7196461584380693
1946-11-24,1947,H,CHS,DTF,55,68,0,0.6945484679916444
1946-11-24,1947,H,CLR,PIT,62,60,1,0.6696377432828511
1946-11-25,1947,H,BOS,PRO,59,71,0,0.6187880978741684
1946-11-25,1947,H,PIT,NYK,46,62,0,0.6035225443667784
1946-11-26,1947,H,DTF,CLR,66,46,1,0.6335877301310011
1946-11-26,1947,H,PHW,BOS,66,54,1,0.7153663426958158
1946-11-26,1947,H,TRH,WSC,68,78,0,0.5255521016780368
1946-11-27,1947,H,NYK,STB,67,60,1,0.6208687671079863
1946-11-27,1947,H,PIT,CLR,62,60,1,0.5918810917502593
