date,season,location,team1,team2,score1,score2,result
2023-09-07,2023,H,KC,DET,20,21,0.0
2023-09-10,2023,H,ATL,CAR,24,10,1.0
2023-09-10,2023,H,BAL,HOU,25,9,1.0
2023-09-10,2023,H,CLE,CIN,24,3,1.0
2023-09-10,2023,H,IND,JAX,21,31,0.0
2023-09-10,2023,H,MIN,TB,17,20,0.0
2023-09-10,2023,H,NO,TEN,16,15,1.0
2023-09-10,2023,H,PIT,SF,7,30,0.0
2023-09-10,2023,H,WAS,ARI,20,16,1.0
2023-09-10,2023,H,CHI,GB,20,38,0.0
2023-09-10,2023,H,DEN,LV,16,17,0.0
2023-09-10,2023,H,LAC,MIA,34,36,0.0
2023-09-10,2023,H,NE,PHI,20,25,0.0
2023-09-10,2023,H,SEA,LAR,13,30,0.0
2023-09-10,2023,H,NYG,DAL,0,40,0.0
2023-09-11,2023,H,NYJ,BUF,22,16,1.0
2023-09-14,2023,H,PHI,MIN,34,28,1.0
2023-09-17,2023,H,ATL,GB,25,24,1.0
2023-09-17,2023,H,BUF,LV,38,10,1.0
2023-09-17,2023,H,CIN,BAL,24,27,0.0
2023-09-17,2023,H,DET,SEA,31,37,0.0
2023-09-17,2023,H,HOU,IND,20,31,0.0
2023-09-17,2023,H,JAX,KC,9,17,0.0
2023-09-17,2023,H,TB,CHI,27,17,1.0
2023-09-17,2023,H,TEN,LAC,27,24,1.0
2023-09-17,2023,H,ARI,NYG,28,31,0.0
2023-09-17,2023,H,LAR,SF,23,30,0.0
2023-09-17,2023,H,DAL,NYJ,30,10,1.0
2023-09-17,2023,H,DEN,WAS,33,35,0.0
2023-09-17,2023,H,NE,MIA,17,24,0.0
2023-09-18,2023,H,CAR,NO,17,20,0.0
2023-09-18,2023,H,PIT,CLE,26,22,1.0
2023-09-21,2023,H,SF,NYG,30,12,1.0
2023-09-24,2023,H,BAL,IND,19,22,0.0
2023-09-24,2023,H,CLE,TEN,27,3,1.0
2023-09-24,2023,H,DET,ATL,20,6,1.0
2023-09-24,2023,H,GB,NO,18,17,1.0
2023-09-24,2023,H,JAX,HOU,17,37,0.0
2023-09-24,2023,H,MIA,DEN,70,20,1.0
2023-09-24,2023,H,MIN,LAC,24,28,0.0
2023-09-24,2023,H,NYJ,NE,10,15,0.0
2023-09-24,2023,H,WAS,BUF,3,37,0.0
2023-09-24,2023,H,SEA,CAR,37,27,1.0
2023-09-24,2023,H,ARI,DAL,28,16,1.0
2023-09-24,2023,H,KC,CHI,41,10,1.0
2023-09-24,2023,H,LV,PIT,18,23,0.0
2023-09-25,2023,H,TB,PHI,11,25,0.0
2023-09-25,2023,H,CIN,LAR,19,16,1.0
2023-09-28,2023,H,GB,DET,20,34,0.0
2023-10-01,2023,H,JAX,ATL,23,7,1.0
2023-10-01,2023,H,BUF,MIA,48,20,1.0
2023-10-01,2023,H,CAR,MIN,13,21,0.0
2023-10-01,2023,H,CHI,DEN,28,31,0.0
2023-10-01,2023,H,CLE,BAL,3,28,0.0
2023-10-01,2023,H,HOU,PIT,30,6,1.0
2023-10-01,2023,H,IND,LAR,23,29,0.0
2023-10-01,2023,H,NO,TB,9,26,0.0
2023-10-01,2023,H,PHI,WAS,34,31,1.0
2023-10-01,2023,H,TEN,CIN,27,3,1.0
2023-10-01,2023,H,LAC,LV,24,17,1.0
2023-10-01,2023,H,DAL,NE,38,3,1.0
2023-10-01,2023,H,SF,ARI,35,16,1.0
2023-10-01,2023,H,NYJ,KC,20,23,0.0
2023-10-02,2023,H,NYG,SEA,3,24,0.0
2023-09-07,2023,A,DET,KC,21,20,1.0
2023-09-10,2023,A,CAR,ATL,10,24,0.0
2023-09-10,2023,A,HOU,BAL,9,25,0.0
2023-09-10,2023,A,CIN,CLE,3,24,0.0
2023-09-10,2023,A,JAX,IND,31,21,1.0
2023-09-10,2023,A,TB,MIN,20,17,1.0
2023-09-10,2023,A,TEN,NO,15,16,0.0
2023-09-10,2023,A,SF,PIT,30,7,1.0
2023-09-10,2023,A,ARI,WAS,16,20,0.0
2023-09-10,2023,A,GB,CHI,38,20,1.0
2023-09-10,2023,A,LV,DEN,17,16,1.0
2023-09-10,2023,A,MIA,LAC,36,34,1.0
2023-09-10,2023,A,PHI,NE,25,20,1.0
2023-09-10,2023,A,LAR,SEA,30,13,1.0
2023-09-10,2023,A,DAL,NYG,40,0,1.0
2023-09-11,2023,A,BUF,NYJ,16,22,0.0
2023-09-14,2023,A,MIN,PHI,28,34,0.0
2023-09-17,2023,A,GB,ATL,24,25,0.0
2023-09-17,2023,A,LV,BUF,10,38,0.0
2023-09-17,2023,A,BAL,CIN,27,24,1.0
2023-09-17,2023,A,SEA,DET,37,31,1.0
2023-09-17,2023,A,IND,HOU,31,20,1.0
2023-09-17,2023,A,KC,JAX,17,9,1.0
2023-09-17,2023,A,CHI,TB,17,27,0.0
2023-09-17,2023,A,LAC,TEN,24,27,0.0
2023-09-17,2023,A,NYG,ARI,31,28,1.0
2023-09-17,2023,A,SF,LAR,30,23,1.0
2023-09-17,2023,A,NYJ,DAL,10,30,0.0
2023-09-17,2023,A,WAS,DEN,35,33,1.0
2023-09-17,2023,A,MIA,NE,24,17,1.0
2023-09-18,2023,A,NO,CAR,20,17,1.0
2023-09-18,2023,A,CLE,PIT,22,26,0.0
2023-09-21,2023,A,NYG,SF,12,30,0.0
2023-09-24,2023,A,IND,BAL,22,19,1.0
