date,season,location,team1,team2,score1,score2,result
1920-09-26,1920,H,RII,STP,48,0,1.0
1920-10-03,1920,H,AKR,WHE,43,0,1.0
1920-10-03,1920,H,BFF,WBU,32,6,1.0
1920-10-03,1920,H,DAY,COL,14,0,1.0
1920-10-03,1920,H,RII,MUN,45,0,1.0
1920-10-03,1920,H,RCH,ABU,10,0,1.0
1920-10-03,1920,H,CHI,MUT,20,0,1.0
1920-10-03,1920,H,CBD,PTQ,48,0,1.0
1920-10-10,1920,H,RII,HAM,26,0,1.0
1920-10-10,1920,H,CHI,KEW,25,7,1.0
1920-10-10,1920,H,CBD,TLM,42,0,1.0
1920-10-10,1920,H,DHR,CLP,40,14,1.0
1920-10-10,1920,H,BFF,ABU,51,0,1.0
1920-10-10,1920,H,AKR,COL,37,0,1.0
1920-10-10,1920,H,CHT,ARI,0,0,0.5
1920-10-10,1920,H,DAY,CTI,0,0,0.5
1920-10-10,1920,H,RCH,FTP,66,0,1.0
1920-10-17,1920,H,DAY,HAM,44,0,1.0
1920-10-17,1920,H,CBD,CTI,7,0,1.0
1920-10-17,1920,H,RCH,UTI,0,0,0.5
1920-10-17,1920,H,RII,CHI,0,7,0.0
1920-10-17,1920,H,AKR,CNC,13,0,1.0
1920-10-17,1920,H,FTW,COL,14,0,1.0
1920-10-17,1920,H,CHT,DHR,12,0,1.0
1920-10-17,1920,H,ARI,MUT,33,3,1.0
1920-10-17,1920,H,BFF,MCK,28,7,1.0
1920-10-24,1920,H,RCH,SYR,21,7,1.0
1920-10-24,1920,H,RII,ARI,7,0,1.0
1920-10-24,1920,H,DHR,COL,6,0,1.0
1920-10-24,1920,H,DAY,CBD,20,20,0.5
1920-10-24,1920,H,AKR,CTI,7,0,1.0
1920-10-24,1920,H,CHT,CHI,0,10,0.0
1920-10-24,1920,H,BFF,TLM,38,0,1.0
1920-10-31,1920,H,ARI,DHR,21,0,1.0
1920-10-31,1920,H,CBD,AKR,0,10,0.0
1920-10-31,1920,H,LOG,HAM,9,14,0.0
1920-10-31,1920,H,BFF,RCH,17,6,1.0
1920-10-31,1920,H,CTI,COL,7,0,1.0
1920-10-31,1920,H,DAY,CNC,23,7,1.0
1920-10-31,1920,H,RII,CHT,20,7,1.0
1920-10-31,1920,H,RCK,CHI,0,29,0.0
1920-11-07,1920,H,CHT,ARI,3,6,0.0
1920-11-07,1920,H,BFF,ATN,35,0,1.0
1920-11-07,1920,H,CTI,CBD,0,18,0.0
1920-11-07,1920,H,RII,CHI,0,0,0.5
1920-11-07,1920,H,ZAN,COL,0,10,0.0
1920-11-07,1920,H,PUL,HAM,13,14,0.0
1920-11-07,1920,H,RCH,UTI,27,7,1.0
1920-11-11,1920,H,THO,RII,7,7,0.5
1920-11-11,1920,H,CHL,CHI,0,20,0.0
1920-11-14,1920,H,FTW,DHR,0,0,0.5
1920-11-14,1920,H,GAR,HAM,7,6,1.0
1920-11-14,1920,H,CTI,AKR,7,7,0.5
1920-11-14,1920,H,RCH,ATN,0,6,0.0
1920-11-14,1920,H,MNM,CHI,0,3,0.0
1920-11-14,1920,H,CBD,CHT,21,0,1.0
1920-11-14,1920,H,ARI,CNC,20,0,1.0
1920-11-14,1920,H,BFF,COL,43,7,1.0
1920-11-14,1920,H,RII,DAY,0,21,0.0
1920-11-21,1920,H,RCH,ROS,16,0,1.0
1920-11-21,1920,H,ARI,LAN,14,0,1.0
1920-11-21,1920,H,BFF,CBD,0,3,0.0
1920-11-21,1920,H,ZAN,COL,0,0,0.5
1920-11-21,1920,H,AKR,DAY,13,0,1.0
1920-11-21,1920,H,CHI,HAM,28,7,1.0
1920-11-21,1920,H,CTI,TLM,14,0,1.0
1920-11-25,1920,H,RCH,ATN,3,14,0.0
1920-11-25,1920,H,AKR,CBD,7,0,1.0
1920-11-25,1920,H,CHT,CHI,0,6,0.0
1920-11-25,1920,H,ELY,COL,0,0,0.5
1920-11-25,1920,H,DAY,DHR,28,0,1.0
1920-11-25,1920,H,CHB,HAM,27,0,1.0
1920-11-28,1920,H,CHT,THO,27,0,1.0
1920-11-28,1920,H,RII,WJA,48,7,1.0
1920-11-28,1920,H,DAY,AKR,0,14,0.0
1920-11-28,1920,H,ARI,CHI,7,6,1.0
1920-11-28,1920,H,BFF,CTI,7,0,1.0
1920-11-28,1920,H,DHR,LAN,0,0,0.5
1920-11-28,1920,H,ROS,RCH,6,7,0.0
1920-12-04,1920,H,BFF,CBD,7,3,1.0
1920-12-05,1920,H,BFF,AKR,0,0,0.5
1920-12-05,1920,H,WGC,CBD,0,0,0.5
1920-12-05,1920,H,ARI,CHI,0,10,0.0
1920-12-05,1920,H,DHR,DTM,7,7,0.5
1920-12-05,1920,H,ROS,RCH,0,0,0.5
1920-12-05,1920,H,COL,CWP,24,0,1.0
1920-12-11,1920,H,UAP,CBD,13,7,1.0
1920-12-12,1920,H,CHI,AKR,0,0,0.5
1920-12-18,1920,H,RIC,CBD,0,39,0.0
1920-12-19,1920,H,CST,ARI,14,14,0.5
1921-09-25,1921,H,AKR,COL,14,0,1.0
1921-10-02,1921,H,AKR,CCL,41,0,1.0
1921-10-02,1921,H,ARI,MNN,20,0,1.0
1921-10-02,1921,H,BFF,HAM,17,0,1.0
1921-10-02,1921,H,RII,DTI,0,0,0.5
1921-10-02,1921,H,DAY,COL,42,13,1.0
1921-10-02,1921,H,ECG,LOU,21,0,1.0
1921-10-09,1921,H,CBD,HAM,7,7,0.5
1921-10-09,1921,H,DTI,DAY,10,7,1.0
1921-10-09,1921,H,BFF,COL,38,0,1.0
1921-10-09,1921,H,ECG,MUN,14,0,1.0
1921-10-09,1921,H,ARI,AKR,0,23,0.0
1921-10-10,1921,H,CHI,RII,14,10,1.0
1921-10-16,1921,H,MUN,CCL,0,14,0.0
1921-10-16,1921,H,ARI,RII,7,14,0.0
1921-10-16,1921,H,CTI,COL,35,9,1.0
1921-10-16,1921,H,CHI,RCH,16,13,1.0
1921-10-16,1921,H,BFF,NG1,55,0,1.0
1921-10-16,1921,H,ECG,HAM,0,3,0.0
1921-10-16,1921,H,DTI,AKR,0,20,0.0
1921-10-16,1921,H,DAY,CBD,14,14,0.5
1921-10-23,1921,H,GB,MNN,7,6,1.0
1921-10-23,1921,H,BFF,RCH,28,0,1.0
1921-10-23,1921,H,CBD,AKR,0,3,0.0
1921-10-23,1921,H,CTI,CCL,28,0,1.0
1921-10-23,1921,H,ARI,COL,17,6,1.0
