season,team,winrate
1920,ROS,0.25
1920,FTP,0.3333333333333333
1920,CHT,0.3333333333333333
1920,PTQ,0.3333333333333333
1920,STP,0.3333333333333333
1920,CST,0.5
1920,RCH,0.6363636363636364
1920,WHE,0.3333333333333333
1920,UTI,0.3333333333333333
1920,CHL,0.3333333333333333
1920,RIC,0.3333333333333333
1920,LOG,0.3333333333333333
1920,MNM,0.3333333333333333
1920,ABU,0.25
1920,TLM,0.2
1920,LAN,0.3333333333333333
1920,ARI,0.7
1920,MUN,0.3333333333333333
1920,SYR,0.3333333333333333
1920,ELY,0.5
1920,UAP,0.6666666666666666
1920,COL,0.3
1920,CWP,0.3333333333333333
1920,CHI,0.8461538461538461
1920,DAY,0.6666666666666666
1920,WJA,0.3333333333333333
1920,RII,0.7
1920,MUT,0.25
1920,CLP,0.3333333333333333
1920,PUL,0.3333333333333333
1920,CNC,0.2
1920,KEW,0.3333333333333333
1920,GAR,0.6666666666666666
1920,RCK,0.3333333333333333
1920,WGC,0.5
1920,AKR,0.9
1920,DHR,0.42857142857142855
1920,DTM,0.5
1920,WBU,0.3333333333333333
1920,FTW,0.6666666666666666
1920,ZAN,0.3333333333333333
1920,MCK,0.3333333333333333
1920,CBD,0.6153846153846154
1920,CHB,0.6666666666666666
1920,BFF,0.8333333333333334
1920,THO,0.3333333333333333
1920,ATN,0.6
1920,CTI,0.375
1920,HAM,0.3333333333333333
1921,NG1,0.25
1921,MNN,0.3333333333333333
1921,AKR,0.6923076923076923
1921,DTI,0.25
1921,RCH,0.42857142857142855
1921,LOU,0.25
1921,SEN,0.4
1921,ARI,0.5
1921,MUN,0.25
1921,CCL,0.3333333333333333
1921,COL,0.18181818181818182
1921,CBD,0.6666666666666666
1921,TON,0.3333333333333333
1921,BFF,0.8333333333333334
1921,ECG,0.5714285714285714
1921,GB,0.5714285714285714
1921,CTI,0.4
1921,CHI,0.8333333333333334
1921,DAY,0.5
1921,HAM,0.3333333333333333
1921,RII,0.625
1922,AKR,0.4
1922,MNN,0.3333333333333333
1922,RCH,0.16666666666666666
1922,LOU,0.3333333333333333
1922,OOR,0.36363636363636365
1922,ARI,0.6923076923076923
1922,RAC,0.5833333333333334
1922,MIL,0.375
1922,ECG,0.2
1922,CBD,0.9166666666666666
1922,TOL,0.6666666666666666
1922,COL,0.1
1922,BFF,0.5454545454545454
1922,GB,0.5555555555555556
1922,CHI,0.7142857142857143
1922,DAY,0.5555555555555556
1922,HAM,0.14285714285714285
1922,RII,0.625
1923,DUL,0.5555555555555556
1923,SLA,0.2857142857142857
1923,MNN,0.3333333333333333
1923,AKR,0.2222222222222222
1923,RCH,0.16666666666666666
1923,LOU,0.2
1923,OOR,0.15384615384615385
1923,CIB,0.6666666666666666
1923,ARI,0.6428571428571429
1923,RAC,0.5
1923,MIL,0.7272727272727273
1923,CBD,0.9230769230769231
1923,TOL,0.5
1923,COL,0.5454545454545454
1923,GB,0.7272727272727273
1923,BFF,0.5454545454545454
1923,CHI,0.7692307692307693
1923,DAY,0.2222222222222222
1923,HAM,0.25
1923,RII,0.42857142857142855
1924,KEN,0.16666666666666666
1924,DUL,0.75
1924,MNN,0.125
1924,AKR,0.3
1924,RCH,0.1111111111111111
1924,FYJ,0.8
1924,CIB,0.8
1924,ARI,0.5454545454545454
1924,RAC,0.5555555555555556
1924,MIL,0.4
1924,KCB,0.2727272727272727
1924,COL,0.5
1924,BFF,0.5384615384615384
1924,GB,0.6153846153846154
1924,CHI,0.7777777777777778
1924,DAY,0.3
1924,HAM,0.5
1924,RII,0.6666666666666666
1925,DUL,0.2
1925,PTB,0.7857142857142857
1925,AKR,0.625
1925,RCH,0.125
1925,NYG,0.6428571428571429
1925,PRV,0.5384615384615384
1925,HAM,0.2857142857142857
1925,FYJ,0.6363636363636364
1925,CIB,0.4
1925,ARI,0.8
1925,MIL,0.125
1925,KCB,0.3333333333333333
1925,COL,0.09090909090909091
1925,CBD,0.5
1925,GB,0.6
1925,BFF,0.2222222222222222
1925,CHI,0.625
1925,DAY,0.1111111111111111
1925,DPN,0.75
1925,RII,0.6
1926,DUL,0.5384615384615384
1926,DPN,0.4166666666666667
1926,PTB,0.7857142857142857
1926,AKR,0.2857142857142857
1926,BRL,0.3076923076923077
1926,LOU,0.16666666666666666
1926,NYG,0.6428571428571429
1926,PRV,0.42857142857142855
1926,FYJ,0.8823529411764706
1926,LAB,0.6363636363636364
1926,HRT,0.3333333333333333
1926,ARI,0.46153846153846156
1926,RAC,0.2857142857142857
1926,MIL,0.2727272727272727
1926,KCB,0.6923076923076923
1926,COL,0.2222222222222222
1926,CBD,0.16666666666666666
1926,BFF,0.5
1926,GB,0.6666666666666666
1926,CHI,0.8666666666666667
1926,DAY,0.2857142857142857
1926,HAM,0.16666666666666666
1927,DUL,0.18181818181818182
1927,PTB,0.4
1927,NYG,0.8571428571428571
1927,PRV,0.6
1927,FYJ,0.4117647058823529
1927,CIB,0.6428571428571429
1927,ARI,0.3333333333333333
1927,CHI,0.7142857142857143
1927,GB,0.7272727272727273
1927,BFF,0.14285714285714285
1927,NYA,0.47058823529411764
1927,DAY,0.2222222222222222
1928,PTB,0.25
1928,ARI,0.25
1928,DWL,0.7272727272727273
1928,NYG,0.38461538461538464
1928,PRV,0.8181818181818182
1928,GB,0.5833333333333334
1928,NYA,0.35714285714285715
1928,CHI,0.5714285714285714
1928,DAY,0.1111111111111111
1928,FYJ,0.75
1929,PTB,0.5
1929,TOR,0.4444444444444444
1929,MNN,0.16666666666666666
1929,NYG,0.875
1929,PRV,0.4166666666666667
1929,FYJ,0.6666666666666666
1929,ARI,0.5
1929,SIS,0.4444444444444444
1929,GB,0.9285714285714286
1929,BFF,0.2
1929,CHI,0.3333333333333333
1929,DAY,0.125
1930,TOR,0.15384615384615385
1930,MNN,0.2
1930,NYG,0.7368421052631579
1930,PRV,0.5833333333333334
1930,FYJ,0.2631578947368421
1930,DET,0.46153846153846156
1930,BKN,0.6153846153846154
1930,ARI,0.46153846153846156
1930,SIS,0.5
1930,GB,0.7333333333333333
1930,CHI,0.6666666666666666
1931,DET,0.75
1931,BKN,0.1875
1931,ARI,0.5454545454545454
1931,SIS,0.4166666666666667
1931,NYG,0.5333333333333333
1931,PRV,0.5
1931,GB,0.8125
1931,CHI,0.6
1931,FYJ,0.2222222222222222
1931,CLI,0.25
1932,DET,0.7
1932,BKN,0.2857142857142857
1932,WSH,0.5
1932,ARI,0.3
1932,SIS,0.2727272727272727
1932,NYG,0.4166666666666667
1932,GB,0.7333333333333333
1932,CHI,0.8
1933,DET,0.5384615384615384
1933,BKN,0.5454545454545454
1933,WSH,0.5
1933,ARI,0.16666666666666666
1933,PIT,0.36363636363636365
1933,RED,0.36363636363636365
1933,NYG,0.75
1933,PHI,0.4
1933,GB,0.42857142857142855
1933,CHI,0.7857142857142857
1934,DET,0.7333333333333333
1934,BKN,0.38461538461538464
1934,WSH,0.5
1934,ARI,0.46153846153846156
