date,season,location,team1,team2,score1,score2,result,implied_probability,accuracy
1920-09-26,1920,H,RII,STP,48,0,1.0,0.6774193548387097,1.0
1920-10-03,1920,H,AKR,WHE,43,0,1.0,0.7297297297297297,1.0
1920-10-03,1920,H,BFF,WBU,32,6,1.0,0.7142857142857143,1.0
1920-10-03,1920,H,DAY,COL,14,0,1.0,0.6896551724137931,1.0
1920-10-03,1920,H,RII,MUN,45,0,1.0,0.6774193548387097,1.0
1920-10-03,1920,H,RCH,ABU,10,0,1.0,0.717948717948718,1.0
1920-10-03,1920,H,CHI,MUT,20,0,1.0,0.7719298245614035,1.0
1920-10-03,1920,H,CBD,PTQ,48,0,1.0,0.6486486486486487,1.0
1920-10-10,1920,H,RII,HAM,26,0,1.0,0.6774193548387097,1.0
1920-10-10,1920,H,CHI,KEW,25,7,1.0,0.717391304347826,1.0
1920-10-10,1920,H,CBD,TLM,42,0,1.0,0.7547169811320755,1.0
1920-10-10,1920,H,DHR,CLP,40,14,1.0,0.5624999999999999,1.0
1920-10-10,1920,H,BFF,ABU,51,0,1.0,0.7692307692307692,1.0
1920-10-10,1920,H,AKR,COL,37,0,1.0,0.75,1.0
1920-10-10,1920,H,CHT,ARI,0,0,0.5,0.32258064516129037,0.5
1920-10-10,1920,H,DAY,CTI,0,0,0.5,0.64,0.5
1920-10-10,1920,H,RCH,FTP,66,0,1.0,0.65625,1.0
1920-10-17,1920,H,DAY,HAM,44,0,1.0,0.6666666666666666,1.0
1920-10-17,1920,H,CBD,CTI,7,0,1.0,0.6213592233009709,1.0
1920-10-17,1920,H,RCH,UTI,0,0,0.5,0.65625,0.5
1920-10-17,1920,H,RII,CHI,0,7,0.0,0.4527363184079602,1.0
1920-10-17,1920,H,AKR,CNC,13,0,1.0,0.8181818181818181,1.0
1920-10-17,1920,H,FTW,COL,14,0,1.0,0.6896551724137931,1.0
1920-10-17,1920,H,CHT,DHR,12,0,1.0,0.4375,0.0
1920-10-17,1920,H,ARI,MUT,33,3,1.0,0.7368421052631579,1.0
1920-10-17,1920,H,BFF,MCK,28,7,1.0,0.7142857142857143,1.0
1920-10-24,1920,H,RCH,SYR,21,7,1.0,0.65625,1.0
1920-10-24,1920,H,RII,ARI,7,0,1.0,0.5,0.5
1920-10-24,1920,H,DHR,COL,6,0,1.0,0.5882352941176471,1.0
1920-10-24,1920,H,DAY,CBD,20,20,0.5,0.52,0.5
1920-10-24,1920,H,AKR,CTI,7,0,1.0,0.7058823529411765,1.0
1920-10-24,1920,H,CHT,CHI,0,10,0.0,0.2826086956521739,1.0
1920-10-24,1920,H,BFF,TLM,38,0,1.0,0.8064516129032258,1.0
1920-10-31,1920,H,ARI,DHR,21,0,1.0,0.620253164556962,1.0
1920-10-31,1920,H,CBD,AKR,0,10,0.0,0.4060913705583757,1.0
1920-10-31,1920,H,LOG,HAM,9,14,0.0,0.5,0.5
1920-10-31,1920,H,BFF,RCH,17,6,1.0,0.5670103092783505,1.0
1920-10-31,1920,H,CTI,COL,7,0,1.0,0.5555555555555555,1.0
1920-10-31,1920,H,DAY,CNC,23,7,1.0,0.7692307692307692,1.0
1920-10-31,1920,H,RII,CHT,20,7,1.0,0.6774193548387097,1.0
1920-10-31,1920,H,RCK,CHI,0,29,0.0,0.2826086956521739,1.0
1920-11-07,1920,H,CHT,ARI,3,6,0.0,0.32258064516129037,1.0
1920-11-07,1920,H,BFF,ATN,35,0,1.0,0.5813953488372093,1.0
1920-11-07,1920,H,CTI,CBD,0,18,0.0,0.3786407766990291,1.0
1920-11-07,1920,H,RII,CHI,0,0,0.5,0.4527363184079602,0.5
1920-11-07,1920,H,ZAN,COL,0,10,0.0,0.5263157894736842,0.0
1920-11-07,1920,H,PUL,HAM,13,14,0.0,0.5,0.5
1920-11-07,1920,H,RCH,UTI,27,7,1.0,0.65625,1.0
1920-11-11,1920,H,THO,RII,7,7,0.5,0.32258064516129037,0.5
1920-11-11,1920,H,CHL,CHI,0,20,0.0,0.2826086956521739,1.0
1920-11-14,1920,H,FTW,DHR,0,0,0.5,0.6086956521739131,0.5
1920-11-14,1920,H,GAR,HAM,7,6,1.0,0.6666666666666666,1.0
1920-11-14,1920,H,CTI,AKR,7,7,0.5,0.29411764705882354,0.5
1920-11-14,1920,H,RCH,ATN,0,6,0.0,0.5147058823529412,0.0
1920-11-14,1920,H,MNM,CHI,0,3,0.0,0.2826086956521739,1.0
1920-11-14,1920,H,CBD,CHT,21,0,1.0,0.6486486486486487,1.0
1920-11-14,1920,H,ARI,CNC,20,0,1.0,0.7777777777777778,1.0
1920-11-14,1920,H,BFF,COL,43,7,1.0,0.7352941176470589,1.0
1920-11-14,1920,H,RII,DAY,0,21,0.0,0.5121951219512195,0.0
1920-11-21,1920,H,RCH,ROS,16,0,1.0,0.717948717948718,1.0
1920-11-21,1920,H,ARI,LAN,14,0,1.0,0.6774193548387097,1.0
1920-11-21,1920,H,BFF,CBD,0,3,0.0,0.5752212389380531,0.0
1920-11-21,1920,H,ZAN,COL,0,0,0.5,0.5263157894736842,0.5
1920-11-21,1920,H,AKR,DAY,13,0,1.0,0.574468085106383,1.0
1920-11-21,1920,H,CHI,HAM,28,7,1.0,0.717391304347826,1.0
1920-11-21,1920,H,CTI,TLM,14,0,1.0,0.6521739130434783,1.0
1920-11-25,1920,H,RCH,ATN,3,14,0.0,0.5147058823529412,0.0
1920-11-25,1920,H,AKR,CBD,7,0,1.0,0.5939086294416244,1.0
1920-11-25,1920,H,CHT,CHI,0,6,0.0,0.2826086956521739,1.0
1920-11-25,1920,H,ELY,COL,0,0,0.5,0.625,0.5
1920-11-25,1920,H,DAY,DHR,28,0,1.0,0.6086956521739131,1.0
1920-11-25,1920,H,CHB,HAM,27,0,1.0,0.6666666666666666,1.0
1920-11-28,1920,H,CHT,THO,27,0,1.0,0.5,0.5
1920-11-28,1920,H,RII,WJA,48,7,1.0,0.6774193548387097,1.0
1920-11-28,1920,H,DAY,AKR,0,14,0.0,0.425531914893617,1.0
1920-11-28,1920,H,ARI,CHI,7,6,1.0,0.4527363184079602,0.0
1920-11-28,1920,H,BFF,CTI,7,0,1.0,0.689655172413793,1.0
1920-11-28,1920,H,DHR,LAN,0,0,0.5,0.5624999999999999,0.5
1920-11-28,1920,H,ROS,RCH,6,7,0.0,0.28205128205128205,1.0
1920-12-04,1920,H,BFF,CBD,7,3,1.0,0.5752212389380531,1.0
1920-12-05,1920,H,BFF,AKR,0,0,0.5,0.4807692307692308,0.5
1920-12-05,1920,H,WGC,CBD,0,0,0.5,0.4482758620689655,0.5
1920-12-05,1920,H,ARI,CHI,0,10,0.0,0.4527363184079602,1.0
1920-12-05,1920,H,DHR,DTM,7,7,0.5,0.4615384615384615,0.5
1920-12-05,1920,H,ROS,RCH,0,0,0.5,0.28205128205128205,0.5
1920-12-05,1920,H,COL,CWP,24,0,1.0,0.4736842105263158,0.0
1920-12-11,1920,H,UAP,CBD,13,7,1.0,0.52,1.0
1920-12-12,1920,H,CHI,AKR,0,0,0.5,0.4845814977973568,0.5
1920-12-18,1920,H,RIC,CBD,0,39,0.0,0.35135135135135137,1.0
1920-12-19,1920,H,CST,ARI,14,14,0.5,0.4166666666666667,0.5
1921-09-25,1921,H,AKR,COL,14,0,1.0,0.792,1.0
1921-10-02,1921,H,AKR,CCL,41,0,1.0,0.675,1.0
1921-10-02,1921,H,ARI,MNN,20,0,1.0,0.6000000000000001,1.0
1921-10-02,1921,H,BFF,HAM,17,0,1.0,0.7142857142857143,1.0
1921-10-02,1921,H,RII,DTI,0,0,0.5,0.7142857142857143,0.5
1921-10-02,1921,H,DAY,COL,42,13,1.0,0.7333333333333334,1.0
1921-10-02,1921,H,ECG,LOU,21,0,1.0,0.6956521739130435,1.0
1921-10-09,1921,H,CBD,HAM,7,7,0.5,0.6666666666666666,0.5
1921-10-09,1921,H,DTI,DAY,10,7,1.0,0.3333333333333333,0.0
1921-10-09,1921,H,BFF,COL,38,0,1.0,0.8208955223880597,1.0
1921-10-09,1921,H,ECG,MUN,14,0,1.0,0.6956521739130435,1.0
1921-10-09,1921,H,ARI,AKR,0,23,0.0,0.41935483870967744,1.0
1921-10-10,1921,H,CHI,RII,14,10,1.0,0.5714285714285714,1.0
1921-10-16,1921,H,MUN,CCL,0,14,0.0,0.4285714285714286,1.0
1921-10-16,1921,H,ARI,RII,7,14,0.0,0.4444444444444444,1.0
1921-10-16,1921,H,CTI,COL,35,9,1.0,0.6875000000000001,1.0
1921-10-16,1921,H,CHI,RCH,16,13,1.0,0.6603773584905661,1.0
1921-10-16,1921,H,BFF,NG1,55,0,1.0,0.7692307692307692,1.0
1921-10-16,1921,H,ECG,HAM,0,3,0.0,0.6315789473684211,0.0
1921-10-16,1921,H,DTI,AKR,0,20,0.0,0.2653061224489796,1.0
1921-10-16,1921,H,DAY,CBD,14,14,0.5,0.4285714285714286,0.5
1921-10-23,1921,H,GB,MNN,7,6,1.0,0.6315789473684211,1.0
1921-10-23,1921,H,BFF,RCH,28,0,1.0,0.6603773584905661,1.0
1921-10-23,1921,H,CBD,AKR,0,3,0.0,0.490566037735849,1.0
1921-10-23,1921,H,CTI,CCL,28,0,1.0,0.5454545454545454,1.0
1921-10-23,1921,H,ARI,COL,17,6,1.0,0.7333333333333334,1.0
1921-10-23,1921,H,CHI,DAY,7,0,1.0,0.625,1.0
1921-10-23,1921,H,DTI,RII,0,14,0.0,0.2857142857142857,1.0
1921-10-30,1921,H,DAY,CTI,3,2,1.0,0.5555555555555556,1.0
1921-10-30,1921,H,MNN,COL,28,0,1.0,0.6470588235294118,1.0
