date,season,location,team1,team2,team1_colleyrating,team2_colleyrating,result,prediction,accuracy
2023-09-07,2023,H,KC,DET,0.7585993983909904,0.7131413202143536,0.0,1,0.0
2023-09-07,2023,A,DET,KC,0.7131413202143536,0.7585993983909904,1.0,0,0.0
2023-09-10,2023,A,PHI,NE,0.8031884050954392,0.28154345235082234,1.0,1,1.0
2023-09-10,2023,A,LAR,SEA,0.3872687414615938,0.5899700244089415,1.0,0,0.0
2023-09-10,2023,A,DAL,NYG,0.5538078719635512,0.2311344763421961,1.0,1,1.0
2023-09-10,2023,A,GB,CHI,0.3350552359176879,0.21573238370371245,1.0,1,1.0
2023-09-10,2023,A,ARI,WAS,0.18297874209314036,0.38533268474687093,0.0,0,1.0
2023-09-10,2023,A,SF,PIT,0.5944139278116914,0.6758467285836333,1.0,0,0.0
2023-09-10,2023,A,TEN,NO,0.4638493239360418,0.4717320164090456,0.0,0,1.0
2023-09-10,2023,A,TB,MIN,0.4125789238373942,0.5261279363744472,1.0,0,0.0
2023-09-10,2023,A,JAX,IND,0.766572184595961,0.5048416326202145,1.0,1,1.0
2023-09-10,2023,A,CIN,CLE,0.6325848461216389,0.6599760073650222,0.0,0,1.0
2023-09-10,2023,A,HOU,BAL,0.5297997817559906,0.7952988407098976,0.0,0,1.0
2023-09-10,2023,A,CAR,ATL,0.20734724537263133,0.43398046367513776,0.0,0,1.0
2023-09-10,2023,A,MIA,LAC,0.5965320328955512,0.5003833799397873,1.0,1,1.0
2023-09-10,2023,A,LV,DEN,0.3854417496165014,0.38207251180439944,1.0,1,1.0
2023-09-10,2023,H,NYG,DAL,0.2311344763421961,0.5538078719635512,0.0,0,1.0
2023-09-10,2023,H,ATL,CAR,0.43398046367513776,0.20734724537263133,1.0,1,1.0
2023-09-10,2023,H,BAL,HOU,0.7952988407098976,0.5297997817559906,1.0,1,1.0
2023-09-10,2023,H,CLE,CIN,0.6599760073650222,0.6325848461216389,1.0,1,1.0
2023-09-10,2023,H,IND,JAX,0.5048416326202145,0.766572184595961,0.0,0,1.0
2023-09-10,2023,H,MIN,TB,0.5261279363744472,0.4125789238373942,0.0,1,0.0
2023-09-10,2023,H,PIT,SF,0.6758467285836333,0.5944139278116914,0.0,1,0.0
2023-09-10,2023,H,NO,TEN,0.4717320164090456,0.4638493239360418,1.0,1,1.0
2023-09-10,2023,H,CHI,GB,0.21573238370371245,0.3350552359176879,0.0,0,1.0
2023-09-10,2023,H,DEN,LV,0.38207251180439944,0.3854417496165014,0.0,0,1.0
2023-09-10,2023,H,LAC,MIA,0.5003833799397873,0.5965320328955512,0.0,0,1.0
2023-09-10,2023,H,NE,PHI,0.28154345235082234,0.8031884050954392,0.0,0,1.0
2023-09-10,2023,H,SEA,LAR,0.5899700244089415,0.3872687414615938,0.0,1,0.0
2023-09-10,2023,H,WAS,ARI,0.38533268474687093,0.18297874209314036,1.0,1,1.0
2023-09-11,2023,H,NYJ,BUF,0.5033597225772899,0.5195080073084226,1.0,0,0.0
2023-09-11,2023,A,BUF,NYJ,0.5195080073084226,0.5033597225772899,0.0,1,0.0
2023-09-14,2023,A,MIN,PHI,0.5261279363744472,0.8031884050954392,0.0,0,1.0
2023-09-14,2023,H,PHI,MIN,0.8031884050954392,0.5261279363744472,1.0,1,1.0
2023-09-17,2023,A,IND,HOU,0.5048416326202145,0.5297997817559906,1.0,0,0.0
2023-09-17,2023,A,LV,BUF,0.3854417496165014,0.5195080073084226,0.0,0,1.0
2023-09-17,2023,A,BAL,CIN,0.7952988407098976,0.6325848461216389,1.0,1,1.0
2023-09-17,2023,A,SEA,DET,0.5899700244089415,0.7131413202143536,1.0,0,0.0
2023-09-17,2023,A,MIA,NE,0.5965320328955512,0.28154345235082234,1.0,1,1.0
2023-09-17,2023,A,KC,JAX,0.7585993983909904,0.766572184595961,1.0,0,0.0
2023-09-17,2023,A,CHI,TB,0.21573238370371245,0.4125789238373942,0.0,0,1.0
2023-09-17,2023,A,LAC,TEN,0.5003833799397873,0.4638493239360418,0.0,1,0.0
2023-09-17,2023,A,NYG,ARI,0.2311344763421961,0.18297874209314036,1.0,1,1.0
2023-09-17,2023,A,SF,LAR,0.5944139278116914,0.3872687414615938,1.0,1,1.0
2023-09-17,2023,A,GB,ATL,0.3350552359176879,0.43398046367513776,0.0,0,1.0
