date,season,location,team1,team2,score1,score2,result,team1winrate,team2winrate,prediction,accuracy
2023-09-07,2023,H,KC,DET,20,21,0.0,0.7,0.7,0.5,0.5
2023-09-07,2023,A,DET,KC,21,20,1.0,0.7,0.7,0.5,0.5
2023-09-10,2023,A,PHI,NE,25,20,1.0,0.8,0.3,0.7272727272727273,1.0
2023-09-10,2023,A,LAR,SEA,30,13,1.0,0.4,0.667,0.3748828491096532,0.0
2023-09-10,2023,A,DAL,NYG,40,0,1.0,0.667,0.3,0.6897621509824199,1.0
2023-09-10,2023,A,GB,CHI,38,20,1.0,0.333,0.3,0.5260663507109005,1.0
2023-09-10,2023,A,ARI,WAS,16,20,0.0,0.2,0.4,0.3333333333333333,1.0
2023-09-10,2023,A,SF,PIT,30,7,1.0,0.6,0.6,0.5,0.5
2023-09-10,2023,A,TEN,NO,15,16,0.0,0.4,0.5,0.4444444444444445,1.0
2023-09-10,2023,A,TB,MIN,20,17,1.0,0.444,0.5,0.4703389830508475,0.0
2023-09-10,2023,A,JAX,IND,31,21,1.0,0.7,0.4,0.6363636363636362,1.0
2023-09-10,2023,A,CIN,CLE,3,24,0.0,0.556,0.556,0.5,0.5
2023-09-10,2023,A,HOU,BAL,9,25,0.0,0.444,0.7,0.3881118881118881,1.0
2023-09-10,2023,A,CAR,ATL,10,24,0.0,0.222,0.5,0.3074792243767313,1.0
2023-09-10,2023,A,MIA,LAC,36,34,1.0,0.7,0.444,0.6118881118881119,1.0
2023-09-10,2023,A,LV,DEN,17,16,1.0,0.4,0.4,0.5,0.5
2023-09-10,2023,H,NYG,DAL,0,40,0.0,0.3,0.667,0.3102378490175801,1.0
2023-09-10,2023,H,ATL,CAR,24,10,1.0,0.5,0.222,0.6925207756232687,1.0
2023-09-10,2023,H,BAL,HOU,25,9,1.0,0.7,0.444,0.6118881118881119,1.0
2023-09-10,2023,H,CLE,CIN,24,3,1.0,0.556,0.556,0.5,0.5
2023-09-10,2023,H,IND,JAX,21,31,0.0,0.4,0.7,0.36363636363636365,1.0
2023-09-10,2023,H,MIN,TB,17,20,0.0,0.5,0.444,0.5296610169491526,0.0
2023-09-10,2023,H,PIT,SF,7,30,0.0,0.6,0.6,0.5,0.5
2023-09-10,2023,H,NO,TEN,16,15,1.0,0.5,0.4,0.5555555555555556,1.0
2023-09-10,2023,H,CHI,GB,20,38,0.0,0.3,0.333,0.4739336492890995,1.0
2023-09-10,2023,H,DEN,LV,16,17,0.0,0.4,0.4,0.5,0.5
2023-09-10,2023,H,LAC,MIA,34,36,0.0,0.444,0.7,0.3881118881118881,1.0
2023-09-10,2023,H,NE,PHI,20,25,0.0,0.3,0.8,0.2727272727272727,1.0
2023-09-10,2023,H,SEA,LAR,13,30,0.0,0.667,0.4,0.6251171508903467,0.0
2023-09-10,2023,H,WAS,ARI,20,16,1.0,0.4,0.2,0.6666666666666666,1.0
2023-09-11,2023,H,NYJ,BUF,22,16,1.0,0.556,0.6,0.4809688581314879,0.0
2023-09-11,2023,A,BUF,NYJ,16,22,0.0,0.6,0.556,0.5190311418685121,0.0
2023-09-14,2023,A,MIN,PHI,28,34,0.0,0.5,0.8,0.3846153846153846,1.0
