date,season,location,team1,team2,team1_masseyrating,team2_masseyrating,result,prediction,accuracy
2023-09-07,2023,H,KC,DET,6.06803951892829,4.107239451675932,0.0,1,0.0
2023-09-07,2023,A,DET,KC,4.107239451675932,6.06803951892829,1.0,0,0.0
2023-09-10,2023,A,PHI,NE,3.504547607043786,-10.307683202053457,1.0,1,1.0
2023-09-10,2023,A,LAR,SEA,-1.3046648408827684,-0.7989036318315514,1.0,0,0.0
2023-09-10,2023,A,DAL,NYG,6.343506634491836,-13.669473352269716,1.0,1,1.0
2023-09-10,2023,A,GB,CHI,-2.5588926414906714,-7.863165686628237,1.0,1,1.0
2023-09-10,2023,A,ARI,WAS,-8.193955242733034,-10.422592733155712,0.0,1,0.0
2023-09-10,2023,A,SF,PIT,9.371980109762525,0.9688815350265927,1.0,1,1.0
2023-09-10,2023,A,TEN,NO,2.3790787187628086,1.2484250065706153,0.0,1,0.0
2023-09-10,2023,A,TB,MIN,0.05983431144826027,1.755804140916833,1.0,0,0.0
2023-09-10,2023,A,JAX,IND,7.200384461641335,2.7959528302990164,1.0,1,1.0
2023-09-10,2023,A,CIN,CLE,2.8248992314866097,8.250842772063805,0.0,0,1.0
2023-09-10,2023,A,HOU,BAL,4.595241966887341,14.658808625737498,0.0,0,1.0
2023-09-10,2023,A,CAR,ATL,-9.064925699730768,-3.105425335893866,0.0,0,1.0
2023-09-10,2023,A,MIA,LAC,2.8822599735295933,3.3902450848120806,1.0,0,0.0
2023-09-10,2023,A,LV,DEN,-7.400619533759771,-8.908734333924114,1.0,1,1.0
2023-09-10,2023,H,NYG,DAL,-13.669473352269716,6.343506634491836,0.0,0,1.0
2023-09-10,2023,H,ATL,CAR,-3.105425335893866,-9.064925699730768,1.0,1,1.0
2023-09-10,2023,H,BAL,HOU,14.658808625737498,4.595241966887341,1.0,1,1.0
2023-09-10,2023,H,CLE,CIN,8.250842772063805,2.8248992314866097,1.0,1,1.0
2023-09-10,2023,H,IND,JAX,2.7959528302990164,7.200384461641335,0.0,0,1.0
2023-09-10,2023,H,MIN,TB,1.755804140916833,0.05983431144826027,0.0,1,0.0
2023-09-10,2023,H,PIT,SF,0.9688815350265927,9.371980109762525,0.0,0,1.0
2023-09-10,2023,H,NO,TEN,1.2484250065706153,2.3790787187628086,1.0,0,0.0
2023-09-10,2023,H,CHI,GB,-7.863165686628237,-2.5588926414906714,0.0,0,1.0
2023-09-10,2023,H,DEN,LV,-8.908734333924114,-7.400619533759771,0.0,0,1.0
2023-09-10,2023,H,LAC,MIA,3.3902450848120806,2.8822599735295933,0.0,1,0.0
2023-09-10,2023,H,NE,PHI,-10.307683202053457,3.504547607043786,0.0,0,1.0
2023-09-10,2023,H,SEA,LAR,-0.7989036318315514,-1.3046648408827684,0.0,1,0.0
2023-09-10,2023,H,WAS,ARI,-10.422592733155712,-8.193955242733034,1.0,0,0.0
