season,team,winrate
1918,Toronto Maple Leafs,0.5833333333333334
1918,Montreal Wanderers,0.25
1918,Ottawa Senators,0.4166666666666667
1918,Montreal Canadiens,0.5833333333333334
1919,Toronto Maple Leafs,0.3
1919,Montreal Canadiens,0.55
1919,Ottawa Senators,0.65
1920,Toronto Maple Leafs,0.5
1920,Quebec Athletic Club/Bulldogs,0.19230769230769232
1920,Montreal Canadiens,0.5384615384615384
1920,Ottawa Senators,0.7692307692307693
1921,Toronto Maple Leafs,0.6153846153846154
1921,Quebec Athletic Club/Bulldogs,0.2692307692307692
1921,Ottawa Senators,0.5769230769230769
1921,Montreal Canadiens,0.5384615384615384
1922,Toronto Maple Leafs,0.56
1922,Quebec Athletic Club/Bulldogs,0.3076923076923077
1922,Ottawa Senators,0.625
1922,Montreal Canadiens,0.52
1923,Toronto Maple Leafs,0.56
1923,Quebec Athletic Club/Bulldogs,0.2692307692307692
1923,Montreal Canadiens,0.5833333333333334
1923,Ottawa Senators,0.6
1924,Toronto Maple Leafs,0.4230769230769231
1924,Quebec Athletic Club/Bulldogs,0.38461538461538464
1924,Montreal Canadiens,0.5384615384615384
1924,Ottawa Senators,0.6538461538461539
1925,Montreal Maroons,0.3333333333333333
1925,Toronto Maple Leafs,0.625
1925,Boston Bruins,0.21875
1925,Quebec Athletic Club/Bulldogs,0.6451612903225806
1925,Ottawa Senators,0.5806451612903226
1925,Montreal Canadiens,0.6
1926,Montreal Maroons,0.6363636363636364
1926,Toronto Maple Leafs,0.37142857142857144
1926,Boston Bruins,0.5294117647058824
1926,New York Americans,0.38235294117647056
1926,Pittsburgh Pirates,0.5405405405405406
1926,Ottawa Senators,0.7352941176470589
1926,Montreal Canadiens,0.32432432432432434
1927,New York Americans,0.4090909090909091
1927,Toronto Maple Leafs,0.3902439024390244
1927,Detroit Red Wings,0.30952380952380953
1927,Pittsburgh Pirates,0.37209302325581395
1927,New York Rangers,0.65
1927,Ottawa Senators,0.7380952380952381
1927,Montreal Maroons,0.5
1927,Boston Bruins,0.5116279069767442
1927,Montreal Canadiens,0.6590909090909091
1927,Chicago Blackhawks,0.46511627906976744
1928,New York Americans,0.3
1928,Toronto Maple Leafs,0.5
1928,Detroit Red Wings,0.5
1928,Pittsburgh Pirates,0.5263157894736842
1928,New York Rangers,0.5405405405405406
1928,Ottawa Senators,0.5833333333333334
1928,Montreal Maroons,0.625
1928,Boston Bruins,0.6
1928,Montreal Canadiens,0.6923076923076923
1928,Chicago Blackhawks,0.18604651162790697
1929,New York Americans,0.5882352941176471
1929,Toronto Maple Leafs,0.5365853658536586
1929,Detroit Red Wings,0.5405405405405406
1929,Pittsburgh Pirates,0.2631578947368421
1929,New York Rangers,0.6111111111111112
1929,Ottawa Senators,0.45454545454545453
1929,Montreal Maroons,0.43243243243243246
1929,Boston Bruins,0.6585365853658537
1929,Montreal Canadiens,0.7419354838709677
1929,Chicago Blackhawks,0.21052631578947367
1930,New York Americans,0.36585365853658536
1930,Toronto Maple Leafs,0.45
1930,Detroit Red Wings,0.375
1930,Pittsburgh Pirates,0.13953488372093023
1930,New York Rangers,0.5
1930,Ottawa Senators,0.5789473684210527
1930,Montreal Maroons,0.5853658536585366
1930,Boston Bruins,0.8666666666666667
1930,Montreal Canadiens,0.5945945945945946
1930,Chicago Blackhawks,0.5365853658536586
1931,New York Americans,0.5277777777777778
1931,Toronto Maple Leafs,0.6216216216216216
1931,Detroit Red Wings,0.4358974358974359
1931,New York Rangers,0.5405405405405406
1931,Ottawa Senators,0.2619047619047619
1931,Philadelphia Quakers,0.11904761904761904
1931,Montreal Maroons,0.525
1931,Boston Bruins,0.725
1931,Montreal Canadiens,0.7105263157894737
1931,Chicago Blackhawks,0.5813953488372093
1932,Montreal Maroons,0.46511627906976744
1932,New York Americans,0.40476190476190477
1932,Boston Bruins,0.42105263157894735
1932,Toronto Maple Leafs,0.5581395348837209
1932,Detroit Red Wings,0.475
1932,New York Rangers,0.5714285714285714
1932,Montreal Canadiens,0.6046511627906976
1932,Chicago Blackhawks,0.48717948717948717
1933,New York Americans,0.41025641025641024
1933,Toronto Maple Leafs,0.5681818181818182
1933,Boston Bruins,0.6190476190476191
1933,Montreal Maroons,0.5227272727272727
1933,Detroit Red Wings,0.6190476190476191
1933,New York Rangers,0.5714285714285714
1933,Montreal Canadiens,0.4222222222222222
1933,Ottawa Senators,0.3
1933,Chicago Blackhawks,0.4473684210526316
1934,Montreal Maroons,0.5128205128205128
1934,Toronto Maple Leafs,0.6585365853658537
1934,Boston Bruins,0.4222222222222222
1934,New York Americans,0.4
1934,Detroit Red Wings,0.625
1934,New York Rangers,0.5238095238095238
