date,season,location,team1,team2,score1,score2,result
1917-12-19,1918,H,Ottawa Senators,Montreal Canadiens,4,7,0.0
1917-12-19,1918,H,Montreal Wanderers,Toronto Maple Leafs,10,9,1.0
1917-12-21,1918,H,Montreal Wanderers,Montreal Canadiens,2,11,0.0
1917-12-21,1918,H,Toronto Maple Leafs,Ottawa Senators,11,4,1.0
1917-12-26,1918,H,Toronto Maple Leafs,Montreal Canadiens,7,5,1.0
1917-12-26,1918,H,Montreal Wanderers,Ottawa Senators,3,6,0.0
1917-12-29,1918,H,Ottawa Senators,Montreal Wanderers,9,2,1.0
1917-12-29,1918,H,Montreal Canadiens,Toronto Maple Leafs,9,2,1.0
1918-01-02,1918,H,Montreal Canadiens,Montreal Wanderers,1,0,1.0
1918-01-02,1918,H,Ottawa Senators,Toronto Maple Leafs,5,6,0.0
1918-01-05,1918,H,Toronto Maple Leafs,Montreal Wanderers,1,0,1.0
1918-01-05,1918,H,Montreal Canadiens,Ottawa Senators,6,5,1.0
1918-01-09,1918,H,Toronto Maple Leafs,Montreal Canadiens,6,4,1.0
1918-01-12,1918,H,Montreal Canadiens,Ottawa Senators,9,4,1.0
1918-01-14,1918,H,Ottawa Senators,Toronto Maple Leafs,9,6,1.0
1918-01-16,1918,H,Toronto Maple Leafs,Ottawa Senators,5,4,1.0
1918-01-19,1918,H,Montreal Canadiens,Toronto Maple Leafs,5,1,1.0
1918-01-21,1918,H,Ottawa Senators,Montreal Canadiens,3,5,0.0
1918-01-23,1918,H,Montreal Canadiens,Ottawa Senators,3,4,0.0
1918-01-26,1918,H,Ottawa Senators,Toronto Maple Leafs,6,3,1.0
1918-01-28,1918,H,Toronto Maple Leafs,Montreal Canadiens,5,1,1.0
1918-01-30,1918,H,Ottawa Senators,Montreal Canadiens,2,5,0.0
1918-02-02,1918,H,Montreal Canadiens,Toronto Maple Leafs,11,2,1.0
1918-02-04,1918,H,Toronto Maple Leafs,Ottawa Senators,8,2,1.0
1918-02-06,1918,H,Ottawa Senators,Montreal Canadiens,6,3,1.0
1918-02-09,1918,H,Montreal Canadiens,Toronto Maple Leafs,3,7,0.0
1918-02-11,1918,H,Toronto Maple Leafs,Ottawa Senators,3,1,1.0
1918-02-13,1918,H,Ottawa Senators,Toronto Maple Leafs,1,6,0.0
1918-02-16,1918,H,Montreal Canadiens,Ottawa Senators,10,4,1.0
1918-02-18,1918,H,Toronto Maple Leafs,Montreal Canadiens,0,9,0.0
1918-02-20,1918,H,Montreal Canadiens,Toronto Maple Leafs,5,4,1.0
1918-02-23,1918,H,Toronto Maple Leafs,Ottawa Senators,9,3,1.0
1918-02-25,1918,H,Ottawa Senators,Montreal Canadiens,8,0,1.0
1918-02-27,1918,N,Montreal Canadiens,Ottawa Senators,1,3,0.0
1918-03-02,1918,H,Toronto Maple Leafs,Montreal Canadiens,5,3,1.0
1918-03-06,1918,H,Ottawa Senators,Toronto Maple Leafs,9,3,1.0
