date,team1,team2,moneyline1,moneyline2,implied_prob
2019-09-05,CHI,GB,149,-171,0.3889263623186326
2019-09-08,MIN,ATL,161,-185,0.37116624340691545
2019-09-08,CAR,LAR,-125,105,0.5324675324675325
2019-09-08,CLE,TEN,207,-252,0.31271099108062966
2019-09-08,PHI,WAS,413,-550,0.18723894570070576
2019-09-08,NYJ,BUF,124,-146,0.42928940388105546
2019-09-08,MIA,BAL,-333,269,0.7394344584388934
2019-09-08,JAC,KC,-196,169,0.6404450706962733
2019-09-08,SEA,CIN,370,-478,0.20463074417616653
2019-09-08,LAC,IND,236,-286,0.2865712419077033
2019-09-08,DAL,NYG,272,-339,0.2582231424403557
2019-09-08,ARI,DET,-157,136,0.5904513003569608
2019-09-08,TB,SF,-102,-118,0.4826358742837298
2019-09-08,NE,PIT,206,-252,0.31341263622765153
2019-09-09,NO,HOU,266,-332,0.2622759726067318
2019-09-09,OAK,DEN,-157,136,0.5904513003569608
2019-09-12,CAR,TB,238,-292,0.2842722051401056
2019-09-15,WAS,DAL,-276,226,0.7052737191948328
2019-09-15,GB,MIN,140,-162,0.4025814382298709
2019-09-15,MIA,NE,-2033,1064,0.917316351592736
2019-09-15,PIT,SEA,177,-211,0.34730365059689333
2019-09-15,BAL,ARI,550,-802,0.1475061324611611
2019-09-15,CIN,SF,-106,-114,0.49133599029630914
2019-09-15,DET,LAC,-115,-104,0.5120034919249236
2019-09-15,TEN,IND,153,-177,0.38216912018322047
2019-09-15,HOU,JAC,281,-353,0.25195641654569423
2019-09-15,NYG,BUF,-121,101,0.5239223627237674
2019-09-15,OAK,KC,-321,257,0.7313286150979278
2019-09-15,LAR,NO,107,-127,0.46336932780828344
2019-09-15,DEN,CHI,-154,133,0.5855226657093437
2019-09-15,ATL,PHI,-117,-103,0.5151837230488916
2019-09-16,NYJ,CLE,-285,242,0.7168493049937487
2019-09-19,JAC,TEN,-130,109,0.5415587004185769
2019-09-22,BUF,CIN,215,-262,0.30489345573991405
2019-09-22,DAL,MIA,1414,-3780,0.0634928946868884
2019-09-22,IND,ATL,105,-124,0.46842325386867417
2019-09-22,PHI,DET,187,-224,0.33509846102929014
2019-09-22,GB,DEN,293,-370,0.24427004833428617
2019-09-22,KC,BAL,190,-233,0.3301278873797958
2019-09-22,NE,NYJ,1334,-3153,0.06711780505589163
2019-09-22,MIN,OAK,353,-455,0.21214379909408865
2019-09-22,ARI,CAR,117,-137,0.44357932957757024
2019-09-22,TB,NYG,195,-239,0.3246970930510991
2019-09-22,SF,PIT,238,-290,0.28462998102466797
2019-09-22,LAC,HOU,144,-166,0.39639961850262273
2019-09-22,SEA,NO,204,-248,0.31581240017424134
2019-09-22,CLE,LAR,-207,174,0.6488137454528815
2019-09-23,WAS,CHI,-234,193,0.6724269826013612
2019-09-26,GB,PHI,166,-193,0.3633522656811925
2019-09-29,DET,KC,-391,308,0.7646528749736373
2019-09-29,IND,OAK,209,-255,0.31059976376919374
2019-09-29,BAL,CLE,282,-354,0.25134530637553426
2019-09-29,BUF,NE,-351,279,0.7468127031533327
2019-09-29,MIA,LAC,-945,627,0.86797470673329
2019-09-29,ATL,TEN,154,-177,0.3812381293181756
2019-09-29,HOU,CAR,208,-254,0.3115319628273726
2019-09-29,NYG,WAS,147,-169,0.3918826391620413
2019-09-29,LAR,TB,368,-483,0.2050333398981515
2019-09-29,ARI,SEA,-255,209,0.6894002362308063
2019-09-29,CHI,MIN,-109,-111,0.4978354041300489
2019-09-29,DEN,JAC,127,-148,0.42468662237139526
2019-09-29,NO,DAL,-149,128,0.5770485120260905
2019-09-30,PIT,CIN,160,-184,0.37250786988457507
2019-10-03,SEA,LAR,105,-125,0.4675324675324675
2019-10-06,NYG,MIN,-247,201,0.6817885865727622
2019-10-06,CAR,JAC,158,-181,0.37567849407738174
2019-10-06,OAK,CHI,-312,252,0.7271956775082107
2019-10-06,PHI,NYJ,610,-900,0.13531799729364008
2019-10-06,NO,TB,140,-162,0.4025814382298709
2019-10-06,CIN,ARI,137,-159,0.40734158501486245
2019-10-06,TEN,BUF,156,-179,0.37843850035266674
2019-10-06,HOU,ATL,174,-210,0.35012423763270833
2019-10-06,WAS,NE,-1234,761,0.8884497865159707
2019-10-06,PIT,BAL,-178,154,0.6192406727661207
2019-10-06,LAC,DEN,189,-230,0.33175831909118325
2019-10-06,DAL,GB,158,-181,0.37567849407738174
2019-10-06,KC,IND,457,-631,0.1721754163653793
2019-10-07,SF,CLE,184,-222,0.33806484125650926
2019-10-10,NE,NYG,799,-1353,0.10670900754747742
2019-10-13,TB,CAR,-130,110,0.5427435387673957
2019-10-13,CLE,SEA,-104,-116,0.48699271592091564
2019-10-13,BAL,CIN,427,-572,0.18228968869695425
2019-10-13,KC,HOU,168,-198,0.35962541031087086
2019-10-13,MIA,WAS,-249,208,0.6872535665639115
2019-10-13,MIN,PHI,155,-178,0.3798333105615521
2019-10-13,JAC,NO,130,-151,0.4195219789403309
2019-10-13,ARI,ATL,-161,140,0.5968489341983318
2019-10-13,LAR,SF,145,-167,0.3948827922798196
2019-10-13,NYJ,DAL,-351,277,0.745810953237106
2019-10-13,DEN,TEN,101,-121,0.47607763727623276
2019-10-13,LAC,PIT,236,-288,0.28620323380148704
2019-10-14,GB,DET,166,-194,0.3629450397511234
2019-10-17,DEN,KC,-157,135,0.5894240754053839
2019-10-20,DET,MIN,-143,122,0.5664275773471791
2019-10-20,ATL,LAR,-174,150,0.6135401974612129
2019-10-20,BUF,MIA,841,-1453,0.10199839350888266
2019-10-20,GB,OAK,212,-257,0.3080666873770322
2019-10-20,WAS,SF,-488,372,0.7966354933318578
2019-10-20,NYG,ARI,165,-192,0.3646353646353647
2019-10-20,CIN,JAC,-220,182,0.659719268396427
2019-10-20,IND,HOU,104,-124,0.46964106004696404
2019-10-20,TEN,LAC,135,-157,0.41057592459461617
2019-10-20,SEA,BAL,132,-156,0.4142931123770068
2019-10-20,CHI,NO,185,-226,0.33604783012060613
2019-10-20,DAL,PHI,140,-163,0.4020177315805564
2019-10-21,NYJ,NE,-450,340,0.782608695652174
2019-10-24,MIN,WAS,798,-1371,0.10672892883625562
2019-10-27,LAR,CIN,496,-700,0.16090104585679807
2019-10-27,IND,DEN,206,-252,0.31341263622765153
2019-10-27,NO,ARI,504,-714,0.15878093692456544
2019-10-27,DET,NYG,226,-275,0.29492725127801805
2019-10-27,CHI,LAC,160,-185,0.3720626631853786
2019-10-27,BUF,PHI,-104,-116,0.48699271592091564
2019-10-27,TEN,TB,108,-129,0.46046810906458624
2019-10-27,ATL,SEA,-360,287,0.7517807036477445
2019-10-27,JAC,NYJ,258,-321,0.2681221261256671
2019-10-27,SF,CAR,177,-212,0.3469596548196255
2019-10-27,HOU,OAK,199,-243,0.32068962293258035
2019-10-27,NE,CLE,352,-451,0.21278074701102906
2019-10-27,KC,GB,-247,202,0.6825077314399692
2019-10-28,PIT,MIA,565,-836,0.144101979862672
2019-10-31,ARI,SF,-513,391,0.8042677923131204
2019-11-03,JAC,HOU,-102,-118,0.4826358742837298
2019-11-03,MIA,NYJ,-184,159,0.6265909329967392
2019-11-03,PIT,IND,102,-122,0.4739134147382802
2019-11-03,PHI,CHI,201,-248,0.31795921350778455
2019-11-03,KC,MIN,-246,202,0.6822539764170004
2019-11-03,BUF,WAS,430,-573,0.181406506913933
2019-11-03,CAR,TEN,161,-187,0.3702891351748875
2019-11-03,OAK,DET,124,-145,0.42997542997543003
2019-11-03,SEA,TB,182,-220,0.3402807316035729
2019-11-03,DEN,CLE,-203,172,0.645680340521072
2019-11-03,LAC,GB,-218,180,0.6574752261956054
2019-11-03,BAL,NE,-164,141,0.5995388629330745
2019-11-04,NYG,DAL,-315,250,0.7265238879736409
2019-11-07,OAK,LAC,-122,101,0.524849107486837
2019-11-10,CIN,BAL,-587,435,0.8205071261544893
2019-11-10,CLE,BUF,142,-165,0.39891615234080985
2019-11-10,NO,ATL,594,-905,0.1379414469440136
2019-11-10,NYJ,NYG,-153,132,0.583854200934272
2019-11-10,TB,ARI,202,-245,0.3180016591390912
2019-11-10,TEN,KC,-252,208,0.68798751950078
2019-11-10,CHI,DET,244,-299,0.27949788450222757
2019-11-10,IND,MIA,443,-602,0.1767878998504102
2019-11-10,GB,CAR,197,-241,0.32268137816175707
2019-11-10,PIT,LAR,-226,186,0.664733226377062
2019-11-10,DAL,MIN,156,-180,0.3779697624190065
2019-11-11,SF,SEA,213,-260,0.3066962003748509
2019-11-14,CLE,PIT,137,-159,0.40734158501486245
2019-11-17,MIN,DEN,378,-496,0.2008844307825055
2019-11-17,BAL,HOU,190,-234,0.32984396602804666
